Date,Type,Run-time
3/6/21,Drama,71
3/5/21,Cartoon,28
3/4/21,Cartoon,28
2/24/21,Drama,45
1/16/21,Drama,44
1/15/21,Drama,44
1/11/21,Anime,24
1/6/21,Anime,22
12/27/20,Drama,70
12/26/20,Drama,73
12/20/20,Anime,24
12/19/20,Anime,24
12/15/20,Anime,24
12/13/20,Anime,22
12/12/20,Cartoon,11
12/11/20,Horror,49
12/10/20,Comedy,21
12/9/20,Horror,52
12/8/20,Comedy,21
12/7/20,Comedy,21
12/6/20,Comedy,21
12/3/20,Comedy,21
12/2/20,Crime,42
12/1/20,Anime,25
11/30/20,Cartoon,25
11/29/20,Anime,23
11/24/20,Horror,82
11/23/20,Reality,84
11/22/20,Comedy,97
11/21/20,Cartoon,25
11/19/20,Suspense,87
11/17/20,Cartoon,23
11/15/20,Anime,98
11/9/20,Anime,23
10/29/20,Horror,86
10/17/20,Suspense,56
10/16/20,Suspense,56
10/5/20,Reality,57
9/29/20,Reality,57
9/24/20,Anime,23
9/22/20,Cartoon,23
9/21/20,Horror,36
9/20/20,Suspense,94
9/18/20,Cartoon,25
9/17/20,Suspense,103
9/11/20,Anime,23
9/5/20,Horror,42
9/4/20,Horror,102
9/3/20,Anime,23
9/1/20,Horror,44
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,